AktID,ArtID,LatArt
760553,5603,Jacobaea vulgaris
760553,32838,Achillea millefolium
761459,116,Agrostis capillaris
761459,429,Anthoxanthum odoratum
761459,1210,Carex hirta
761459,2591,Festuca rubra
761459,3089,Holcus lanatus
761459,3552,Lolium perenne
761459,3608,Luzula campestris
761459,4423,Plantago lanceolata
761459,4692,Potentilla reptans
761459,5917,Stellaria graminea
761459,6446,Trifolium repens
761459,6633,Veronica chamaedrys
761459,6697,Vicia sativa subsp. nigra
762338,116,Agrostis capillaris
762338,1902,Cynosurus cristatus
762338,2370,Equisetum arvense
762338,3089,Holcus lanatus
762338,3552,Lolium perenne
762338,4423,Plantago lanceolata
762338,4729,Prunella vulgaris
762338,6446,Trifolium repens
787496,116,Agrostis capillaris
787496,260,Alopecurus pratensis
787496,435,Anthriscus sylvestris
787496,557,Arrhenatherum elatius
787496,1020,Campanula rotundifolia
787496,1095,Carex arenaria
787496,1416,Centaurea scabiosa
787496,1461,Cerastium fontanum var. vulgare
787496,1625,Cirsium arvense
787496,1925,Dactylis glomerata
787496,2272,Elytrigia juncea subsp. boreoatlantica × repens
787496,2281,Epilobium
787496,2591,Festuca rubra
787496,2667,Galeopsis
787496,2687,Galium mollugo
787496,2717,Galium verum
787496,2804,Glechoma hederacea
787496,3089,Holcus lanatus
787496,3162,Hypericum perforatum
787496,3467,Leymus arenarius
787496,3608,Luzula campestris
787496,4369,Pimpinella saxifraga
787496,4423,Plantago lanceolata
787496,4483,Poa pratensis
787496,4692,Potentilla reptans
787496,4880,Ranunculus repens
787496,5001,Rosa rugosa
787496,5148,Rumex acetosa
787496,5221,Rumex thyrsiflorus
787496,6418,Trifolium campestre
787496,6451,Trifolium striatum
787496,6529,Urtica dioica
787496,7180,Bryopsida
787496,7682,Pseudoscleropodium purum
789720,116,Agrostis capillaris
789720,435,Anthriscus sylvestris
789720,1020,Campanula rotundifolia
789720,1461,Cerastium fontanum var. vulgare
789720,1810,Crataegus monogyna
789720,1925,Dactylis glomerata
789720,2591,Festuca rubra
789720,2763,Geranium molle
789720,3054,Hieracium umbellatum
789720,3162,Hypericum perforatum
789720,3168,Hypochaeris radicata
789720,3381,Lathyrus linifolius
789720,4423,Plantago lanceolata
789720,4673,Potentilla erecta
789720,4880,Ranunculus repens
789720,5148,Rumex acetosa
789720,5388,Salix repens var. repens
789720,5917,Stellaria graminea
789720,6161,Taraxacum officinale coll.
789720,6446,Trifolium repens
789720,7180,Bryopsida
789720,32838,Achillea millefolium
789893,1461,Cerastium fontanum var. vulgare
789893,1902,Cynosurus cristatus
789893,2704,Galium saxatile
789893,3268,Juncus effusus
789893,3552,Lolium perenne
789893,6446,Trifolium repens
789893,6529,Urtica dioica
789893,7180,Bryopsida
791020,116,Agrostis capillaris
791020,429,Anthoxanthum odoratum
791020,544,Armeria maritima subsp. elongata
791020,557,Arrhenatherum elatius
791020,1921,Cytisus scoparius
791020,2000,Daucus carota
791020,2020,Avenella flexuosa
791020,2370,Equisetum arvense
791020,2585,Festuca ovina
791020,2717,Galium verum
791020,2905,Avenula pratensis
791020,3089,Holcus lanatus
791020,3156,Hypericum maculatum
791020,3168,Hypochaeris radicata
791020,3226,Jasione montana
791020,3300,Knautia arvensis
791020,3455,Leucanthemum vulgare
791020,3608,Luzula campestris
791020,4359,Pilosella officinarum
791020,4369,Pimpinella saxifraga
